"Estacion","Fecha inicial","Fecha final","SO2"
"FACATATIVA - URBANO","2025-01-02","","4.4875"
"FACATATIVA - URBANO","2025-01-01","","4.87043478"
"FACATATIVA - URBANO","2024-12-30","","1.881"
"FACATATIVA - URBANO","2024-12-29","","3.74541667"
"FACATATIVA - URBANO","2024-12-28","","4.24041667"
"FACATATIVA - URBANO","2024-12-27","","5.33291667"
"FACATATIVA - URBANO","2024-12-26","","3.01375"
"FACATATIVA - URBANO","2024-12-25","","4.18333333"
"FACATATIVA - URBANO","2024-12-24","","5.28333333"
"FACATATIVA - URBANO","2024-12-23","","4.88347826"
"FACATATIVA - URBANO","2024-12-22","","2.83904762"
"FACATATIVA - URBANO","2024-12-21","","4.27541667"
"FACATATIVA - URBANO","2024-12-20","","5.30583333"
"FACATATIVA - URBANO","2024-12-19","","4.02958333"
"FACATATIVA - URBANO","2024-12-18","","5.5675"
"FACATATIVA - URBANO","2024-12-17","","5.55208333"
"FACATATIVA - URBANO","2024-12-16","","3.28208333"
"FACATATIVA - URBANO","2024-12-15","","4.94625"
"FACATATIVA - URBANO","2024-12-14","","4.23375"
"FACATATIVA - URBANO","2024-12-13","","2.64058824"
"FACATATIVA - URBANO","2024-12-12","","5.21875"
"FACATATIVA - URBANO","2024-12-11","","4.48125"
"FACATATIVA - URBANO","2024-12-10","","3.52375"
"FACATATIVA - URBANO","2024-12-09","","2.48043478"
"FACATATIVA - URBANO","2024-12-08","","5.39208333"
"FACATATIVA - URBANO","2024-12-07","","4.38291667"
"FACATATIVA - URBANO","2024-12-06","","4.80791667"
"FACATATIVA - URBANO","2024-12-05","","3.69333333"
"FACATATIVA - URBANO","2024-12-04","","4.07833333"
"FACATATIVA - URBANO","2024-12-03","","3.88545455"
"FACATATIVA - URBANO","2024-12-02","","3.39105263"
"FACATATIVA - URBANO","2024-12-01","","2.82695652"
"FACATATIVA - URBANO","2024-11-30","","3.36083333"
"FACATATIVA - URBANO","2024-11-29","","3.44125"
"FACATATIVA - URBANO","2024-11-28","","3.63541667"
"FACATATIVA - URBANO","2024-11-27","","3.61708333"
"FACATATIVA - URBANO","2024-11-26","","2.39681818"
"FACATATIVA - URBANO","2024-11-25","","3.63173913"
"FACATATIVA - URBANO","2024-11-24","","5.91578947"
"FACATATIVA - URBANO","2024-11-23","","2.04045455"
"FACATATIVA - URBANO","2024-11-22","","3.75416667"
"FACATATIVA - URBANO","2024-11-21","","2.57217391"
"FACATATIVA - URBANO","2024-11-20","","3.91045455"
"FACATATIVA - URBANO","2024-11-19","","3.83086957"
"FACATATIVA - URBANO","2024-11-18","","3.83181818"
"FACATATIVA - URBANO","2024-11-17","","2.67047619"
"FACATATIVA - URBANO","2024-11-16","","2.50636364"
"FACATATIVA - URBANO","2024-11-15","","4.24291667"
"FACATATIVA - URBANO","2024-11-14","","2.83521739"
"FACATATIVA - URBANO","2024-11-13","","3.78217391"
"FACATATIVA - URBANO","2024-11-12","","1.59555556"
"FACATATIVA - URBANO","2024-11-11","","4.141875"
"FACATATIVA - URBANO","2024-11-10","","2.97833333"
"FACATATIVA - URBANO","2024-11-09","","4.53866667"
"FACATATIVA - URBANO","2024-11-08","","3.36636364"
"FACATATIVA - URBANO","2024-11-07","","4.114375"
