"Estacion","Fecha inicial","Fecha final","NO2"
"FACATATIVA - URBANO","2024-06-10","","32.15904762"
"FACATATIVA - URBANO","2024-06-09","","31.68722222"
"FACATATIVA - URBANO","2024-06-08","","33.2"
"FACATATIVA - URBANO","2024-06-07","","30.25"
"FACATATIVA - URBANO","2024-06-06","","30.68"
"FACATATIVA - URBANO","2024-06-05","","31.58"
"FACATATIVA - URBANO","2024-06-04","","30.68478261"
"FACATATIVA - URBANO","2024-06-03","","28.10533333"
"FACATATIVA - URBANO","2024-06-02","","29.45809524"
"FACATATIVA - URBANO","2024-06-01","","29.35222222"
"FACATATIVA - URBANO","2024-05-31","","28.94941176"
"FACATATIVA - URBANO","2024-05-30","","32.22176471"
"FACATATIVA - URBANO","2024-05-29","","35.43466667"
"FACATATIVA - URBANO","2024-05-28","","38.92384615"
"FACATATIVA - URBANO","2024-05-27","","39.96545455"
"FACATATIVA - URBANO","2024-05-26","","33.03105263"
"FACATATIVA - URBANO","2024-05-25","","35.69095238"
"FACATATIVA - URBANO","2024-05-24","","34.19941176"
"FACATATIVA - URBANO","2024-05-23","","29.04619048"
"FACATATIVA - URBANO","2024-05-22","","23.69545455"
"FACATATIVA - URBANO","2024-05-21","","27.88125"
"FACATATIVA - URBANO","2024-05-20","","29.92958333"
"FACATATIVA - URBANO","2024-05-19","","28.38956522"
"FACATATIVA - URBANO","2024-05-18","","27.29875"
"FACATATIVA - URBANO","2024-05-17","","33.22608696"
"FACATATIVA - URBANO","2024-05-16","","31.96875"
"FACATATIVA - URBANO","2024-05-15","","31.91916667"
"FACATATIVA - URBANO","2024-05-14","","29.62291667"
"FACATATIVA - URBANO","2024-05-13","","27.2747619"
"FACATATIVA - URBANO","2024-05-12","","27.32916667"
"FACATATIVA - URBANO","2024-05-11","","30.03291667"
"FACATATIVA - URBANO","2024-05-10","","28.11"
"FACATATIVA - URBANO","2024-05-09","","36.37916667"
"FACATATIVA - URBANO","2024-05-08","","38.70166667"
"FACATATIVA - URBANO","2024-05-07","","32.71083333"
"FACATATIVA - URBANO","2024-05-06","","31.95791667"
