"Estacion","Fecha inicial","Fecha final","CO"
"FACATATIVA - URBANO","2024-09-13","","1192.70833333"
"FACATATIVA - URBANO","2024-09-12","","1451.2875"
"FACATATIVA - URBANO","2024-09-11","","1290.51041667"
"FACATATIVA - URBANO","2024-09-10","","910.75208333"
"FACATATIVA - URBANO","2024-09-09","","956.55208333"
"FACATATIVA - URBANO","2024-09-08","","693.47173913"
"FACATATIVA - URBANO","2024-09-07","","886.42083333"
"FACATATIVA - URBANO","2024-09-06","","861.6125"
"FACATATIVA - URBANO","2024-09-05","","661.71458333"
"FACATATIVA - URBANO","2024-09-04","","835.37291667"
"FACATATIVA - URBANO","2024-09-03","","739.95625"
"FACATATIVA - URBANO","2024-09-02","","794.82083333"
"FACATATIVA - URBANO","2024-09-01","","630.22708333"
"FACATATIVA - URBANO","2024-08-31","","684.1375"
"FACATATIVA - URBANO","2024-08-30","","675.07291667"
"FACATATIVA - URBANO","2024-08-29","","280.04791667"
"FACATATIVA - URBANO","2024-08-28","","230.90833333"
"FACATATIVA - URBANO","2024-08-27","","1716.49826087"
"FACATATIVA - URBANO","2024-08-26","","2609.47333333"
"FACATATIVA - URBANO","2024-08-25","","2423.96958333"
"FACATATIVA - URBANO","2024-08-24","","2596.26916667"
"FACATATIVA - URBANO","2024-08-23","","2691.89541667"
"FACATATIVA - URBANO","2024-08-22","","2507.34083333"
"FACATATIVA - URBANO","2024-08-21","","2385.90458333"
"FACATATIVA - URBANO","2024-08-20","","2171.98125"
"FACATATIVA - URBANO","2024-08-19","","2001.06541667"
"FACATATIVA - URBANO","2024-08-18","","1932.17833333"
"FACATATIVA - URBANO","2024-08-17","","2125.28458333"
"FACATATIVA - URBANO","2024-08-16","","1867.09708333"
"FACATATIVA - URBANO","2024-08-15","","1820.50375"
"FACATATIVA - URBANO","2024-08-14","","1925.85958333"
"FACATATIVA - URBANO","2024-08-13","","1482.14625"
"FACATATIVA - URBANO","2024-08-12","","1434.2875"
"FACATATIVA - URBANO","2024-08-11","","1180.825"
"FACATATIVA - URBANO","2024-08-10","","1287.21291667"
"FACATATIVA - URBANO","2024-08-09","","1407.37833333"
"FACATATIVA - URBANO","2024-08-08","","1661.32833333"
"FACATATIVA - URBANO","2024-08-07","","1425.19291667"
"FACATATIVA - URBANO","2024-08-06","","1385.18458333"
"FACATATIVA - URBANO","2024-08-05","","1292.06666667"
"FACATATIVA - URBANO","2024-08-04","","1281.71"
"FACATATIVA - URBANO","2024-08-03","","1124.53458333"
"FACATATIVA - URBANO","2024-08-02","","980.48875"
"FACATATIVA - URBANO","2024-08-01","","724.56458333"
"FACATATIVA - URBANO","2024-07-31","","596.9025"
"FACATATIVA - URBANO","2024-07-30","","544.35208333"
"FACATATIVA - URBANO","2024-07-29","","1309.59375"
"FACATATIVA - URBANO","2024-07-28","","1395.94583333"
"FACATATIVA - URBANO","2024-07-27","","1518.07916667"
"FACATATIVA - URBANO","2024-07-26","","1769.50208333"
"FACATATIVA - URBANO","2024-07-25","","1677.17608696"
"FACATATIVA - URBANO","2024-07-24","","1500.90416667"
"FACATATIVA - URBANO","2024-07-23","","1638.78125"
"FACATATIVA - URBANO","2024-07-22","","1113.98958333"
"FACATATIVA - URBANO","2024-07-21","","1104.925"
